-0.400529,0.598439,0.643687,0.005853
0.157063,-0.104911,-0.267104,-0.529689
-0.289071,-0.187018,0.165182,-0.267691
0.302843,0.074652,0.403798,-0.154682
-0.264612,-0.421139,-0.104450,-0.139140
-0.177439,-0.127077,0.218174,0.080138
-0.031986,1.345742,-0.548862,0.752574
0.112771,0.845401,0.417636,-1.250265
-0.202129,-0.314522,-0.277869,-0.149806
-0.156086,0.451028,-0.404614,0.456622
-0.044025,-0.184845,-0.074915,-0.157394
-0.097766,-0.228996,0.107903,-0.078777
-0.044801,0.199788,0.022273,0.283420
0.030269,0.114370,0.032134,-0.144214
-0.195303,-0.401983,-0.186938,0.149036
0.472454,-1.092782,4.134775,0.633374
0.121031,0.356076,0.501711,0.102266
-0.043781,-0.018769,0.062669,0.121317
-0.022523,-0.317706,0.219862,-0.209496
-0.057569,-0.004039,-0.166955,-0.129460
-0.124952,0.016323,-0.179628,0.106799
0.044048,0.226569,-0.392075,-0.106895
0.030167,0.190221,0.254748,0.164538
0.063962,0.678282,-0.055193,0.526532
0.021751,0.436106,-0.465707,0.166123
0.037707,0.163093,-0.298636,-0.317061
-0.099832,-0.090457,-0.100039,-0.097353
0.021921,0.143952,0.000120,0.037889
-0.121890,-0.048214,0.137621,0.203676
0.026950,0.317651,-0.368435,-0.105541
-0.128483,-0.026113,-0.138291,0.087995
0.313296,-0.307814,-0.654788,-1.374790
-0.185209,0.110418,0.040032,0.560669
-0.131354,-0.300059,0.136934,-0.138706
-0.149159,-0.156038,-0.031304,0.141657
0.090133,0.146581,-0.185718,-0.168303
0.071834,-0.009603,0.013138,-0.079284
0.088684,0.167236,-0.145088,-0.122072
-0.270795,-0.241616,0.008724,0.310443
-0.342787,-0.414793,0.514880,0.230183
0.146120,0.364986,-0.174775,-0.198768
-0.009917,0.112630,-0.076488,-0.006820
0.056842,0.370049,0.123916,0.288765
-0.015091,-0.017944,0.132816,0.157992
-0.167589,-0.273055,-0.117280,-0.167430
-0.188184,-0.289700,0.014699,-0.049941
0.047019,0.376607,-0.441542,-0.115193
0.253885,0.652456,0.426593,-0.069229
0.132537,0.284221,-0.350262,-0.216731
-0.273535,-0.210214,-0.233912,0.326214
-0.152598,0.154407,-0.228066,0.095953
-0.194527,-0.173906,-0.013037,0.309710
0.146988,0.513857,-0.162828,0.015622
0.125527,0.128117,0.242663,-0.035062
-0.361220,-0.195678,-0.059512,0.649333
-0.473443,-0.971925,-0.195093,-0.070066
-0.076829,0.628858,0.946647,-0.943070
0.121846,-0.036337,0.162638,-0.222841
0.329067,0.100811,-0.258865,-0.974694
-0.210638,-0.532143,0.096244,-0.466122
-0.119635,-0.188861,0.362940,0.071214
-0.479183,-0.009205,-0.098590,0.588408
0.079889,0.309342,-0.626903,-0.143394
0.520328,0.947900,0.759318,-1.598151
1.322159,0.610662,0.266577,-0.061969
